pdb_id,max_dist,apix
7kmc,90.834,1.0
6t66,131.20499999999998,1.0170930232558137
5c3c,83.62500000000003,1.0
6rv6,127.345,1.0
2zat,79.849,1.0
5c40,86.614,1.0
8g0v,129.59,1.0045736434108528
1dhf,86.167,1.0
8a7p,143.119,1.1094496124031008
1b6t,72.72500000000001,1.0
6ij7,91.09100000000001,1.0
1xt8,88.13900000000001,1.0
2l0f,48.038999999999994,1.0
2car,64.02600000000001,1.0
4lkc,81.548,1.0
2p0u,84.816,1.0
4nzb,152.393,1.1813410852713178
2ve9,91.924,1.0
2yxo,83.347,1.0
6uiw,138.704,1.0752248062015504
1vfm,104.574,1.0
5j09,100.58,1.0
2wja,62.806,1.0
2iyi,51.215,1.0
3qg7,71.669,1.0
1dm7,85.527,1.0
2qro,122.475,1.0
1nb3,174.42200000000003,1.3521085271317832
1ytz,75.286,1.0
1nb4,120.075,1.0
7cm2,107.675,1.0
1wpb,245.34,1.9018604651162792
5ksi,66.069,1.0
6dbo,170.733,1.3235116279069767
1don,64.40599999999999,1.0
4ttm,21.485999999999997,1.0
6bp4,95.636,1.0
3hlx,72.454,1.0
7fd8,161.159,1.249294573643411
5hz0,97.48299999999999,1.0
4jv2,68.29899999999999,1.0
2x6p,45.351,1.0
3u9u,205.457,1.5926899224806201
6a60,68.696,1.0
6uek,131.967,1.0230000000000001
6xkl,296.53,2.2986821705426355
5jpt,114.05199999999999,1.0
1cqf,61.260000000000005,1.0
7rn9,62.664,1.0
1zy7,89.87,1.0
3rwt,125.332,1.0
6m7v,80.85000000000001,1.0
4plu,50.102,1.0
5mpk,57.388,1.0
5mk0,98.752,1.0
2tsb,65.593,1.0
6f9f,155.69799999999998,1.2069612403100773
7p6x,122.219,1.0
2hwf,95.156,1.0
1pl1,61.86599999999999,1.0
7jhy,176.55599999999998,1.3686511627906977
5y63,117.832,1.0
6psp,93.51400000000001,1.0
1ajx,51.916,1.0
3qw3,68.129,1.0
6zuo,257.731,1.9979147286821706
5gwe,106.357,1.0
4w6f,73.307,1.0
3kmp,74.461,1.0
3tj4,86.22500000000001,1.0
5ecm,214.93099999999998,1.6661317829457363
3cvt,114.67,1.0
2g0g,78.699,1.0
5z0l,57.782,1.0
3mwa,79.495,1.0
5rau,99.005,1.0
